,C,I,N,CRT
0,,,1.4847266404679265,0.0
1,,,1.4847266404679265,0.28571428571428603
2,4.6526957480816815,3.167969107613755,1.094968336708714,0.28571428571428603
3,0.5882741304371146,0.0,2.5796949771766404,0.42857142857142894
4,0.0,1.4847266404679265,0.0,0.14285714285714302
5,-1.4847266404679265,0.5882741304371146,-0.5882741304371146,0.14285714285714302
6,3.167969107613755,0.0,2.073000770905041,0.14285714285714302
7,2.073000770905041,0.0,0.0,0.14285714285714302
8,0.0,1.094968336708714,1.6832424671458286,0.14285714285714302
9,1.6832424671458286,-1.4847266404679265,3.167969107613755,0.42857142857142894
10,3.167969107613755,1.6832424671458286,1.6832424671458286,0.28571428571428603
11,3.167969107613755,2.073000770905041,1.6832424671458286,0.42857142857142894
12,0.5882741304371146,-2.073000770905041,0.5882741304371146,0.42857142857142894
13,2.5796949771766404,1.094968336708714,0.0,0.28571428571428603
14,4.6526957480816815,3.167969107613755,4.6526957480816815,0.14285714285714302
15,1.4847266404679265,0.0,1.4847266404679265,0.42857142857142894
16,0.0,0.5882741304371144,-0.5882741304371146,0.28571428571428603
17,1.094968336708714,1.094968336708714,2.5796949771766404,0.28571428571428603
18,0.0,2.5796949771766404,0.5882741304371144,0.14285714285714302
19,4.6526957480816815,3.167969107613755,4.6526957480816815,0.28571428571428603
20,4.6526957480816815,3.167969107613755,3.167969107613755,0.0
21,2.5796949771766404,1.6832424671458286,3.167969107613755,0.0
22,3.167969107613755,0.5066942062715994,0.0,0.0
23,0.5066942062715994,2.073000770905041,0.0,0.0
24,4.6526957480816815,0.5882741304371144,3.167969107613755,0.14285714285714302
25,1.6832424671458286,0.5882741304371144,1.6832424671458286,0.42857142857142894
26,3.167969107613755,1.6832424671458286,3.167969107613755,0.42857142857142894
27,2.5796949771766404,1.094968336708714,2.073000770905041,0.42857142857142894
28,2.073000770905041,0.5882741304371144,0.0,0.42857142857142894
29,1.6832424671458286,1.6832424671458286,0.0,0.14285714285714302
30,3.167969107613755,3.167969107613755,2.5796949771766404,0.28571428571428603
31,1.094968336708714,3.167969107613755,3.167969107613755,0.28571428571428603
32,3.167969107613755,1.4847266404679265,3.167969107613755,0.28571428571428603
33,3.167969107613755,3.167969107613755,1.4847266404679265,0.42857142857142894
34,4.6526957480816815,0.0,3.167969107613755,0.42857142857142894
35,2.073000770905041,1.4847266404679265,4.6526957480816815,0.42857142857142894
36,1.094968336708714,1.094968336708714,0.5882741304371144,0.0
37,2.5796949771766404,1.094968336708714,3.167969107613755,0.28571428571428603
38,0.0,2.073000770905041,1.094968336708714,0.14285714285714302
39,1.094968336708714,1.4847266404679265,1.094968336708714,0.28571428571428603
40,-2.073000770905041,2.073000770905041,0.0,0.42857142857142894
41,3.167969107613755,2.5796949771766404,1.4847266404679265,0.28571428571428603
42,1.094968336708714,0.5882741304371144,2.5796949771766404,0.42857142857142894
43,0.5882741304371146,0.5882741304371146,0.0,0.0
44,1.6832424671458286,1.094968336708714,4.6526957480816815,0.42857142857142894
45,2.073000770905041,0.5066942062715994,2.5796949771766404,0.42857142857142894
46,0.0,-0.5882741304371144,-1.094968336708714,0.0
47,2.5796949771766404,3.167969107613755,3.167969107613755,0.14285714285714302
48,2.5796949771766404,1.6832424671458286,3.167969107613755,0.28571428571428603
49,2.5796949771766404,0.0,2.5796949771766404,0.14285714285714302
50,1.6832424671458286,0.5882741304371144,1.094968336708714,0.0
51,2.073000770905041,0.0,2.073000770905041,0.0
52,4.6526957480816815,2.5796949771766404,4.6526957480816815,0.14285714285714302
53,0.0,2.5796949771766404,0.0,0.28571428571428603
